#,Priority,Segment,Area,Company name,Name for messages,Companies House number,Companies House link,Accounts type,Incorporated,Registered address,Postcode,Group entities collapsed,Also in earlier 933 research list (not messaged),Nearest pitch,Walk to nearest (min),Lead-with pitch,Walk to lead-with pitch (min),Other pitches within 19 min,Latitude,Longitude
14,1,Law firm,City of London,Squire Patton Boggs (UK) LLP,Squire Patton Boggs,OC335584,https://find-and-update.company-information.service.gov.uk/company/OC335584,Group,14/03/2008,"60 London Wall, London",EC2M 5TQ,1,,Liverpool St - Attlee Centre,15.7,Shoreditch Powerleague,17.1,Shoreditch Powerleague (17.1),51.516838,-0.08681
15,1,Law firm,City of London,Simmons & Simmons LLP,Simmons & Simmons,OC352713,https://find-and-update.company-information.service.gov.uk/company/OC352713,Group,01/03/2010,"Citypoint, One Ropemaker Street, London",EC2Y 9SS,3,,Shoreditch Powerleague,17.2,Shoreditch Powerleague,17.2,Liverpool St - Attlee Centre (19),51.519348,-0.089631
16,1,Law firm,City of London,Beale & Company Solicitors LLP,Beale & Company Solicitors,OC310010,https://find-and-update.company-information.service.gov.uk/company/OC310010,Group,15/11/2004,"7 Bishopsgate, London",EC2N 3AR,1,,Liverpool St - Attlee Centre,13.1,Shoreditch Powerleague,17.7,Shoreditch Powerleague (17.7),51.514768,-0.083395
17,1,Law firm,City of London,DLA Piper International LLP,DLA Piper,OC305357,https://find-and-update.company-information.service.gov.uk/company/OC305357,Group,22/08/2003,"160 Aldersgate Street, London",EC1A 4HT,2,,Old St - Moreland Primary School,18.4,Old St - Moreland Primary School,18.4,,51.518691,-0.097312
18,1,Law firm,City of London,Three Crowns (Services) LLP,Three Crowns,OC389628,https://find-and-update.company-information.service.gov.uk/company/OC389628,Group,02/12/2013,"The Jj Mack Building, 33 Charterhouse Street, London",EC1M 6HA,1,,Old St - Moreland Primary School,18.5,Old St - Moreland Primary School,18.5,,51.519262,-0.103703
19,1,Law firm,City of London,Holman Fenwick Willan LLP,Holman Fenwick Willan,OC343361,https://find-and-update.company-information.service.gov.uk/company/OC343361,Group,16/02/2009,"8 Bishopsgate, London",EC2N 4BQ,8,,Liverpool St - Attlee Centre,13.7,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.514149,-0.083493
20,1,Bank,Canary Wharf,HSBC Bank PLC,HSBC,00014259,https://find-and-update.company-information.service.gov.uk/company/00014259,Group,01/07/1880,"8 Canada Square, London",E14 5HQ,6,Hsbc Innovation Bank,Poplar,5.5,Poplar,5.5,,51.505532,-0.017395
21,1,Bank,City of London,Itaú BBA International PLC,Itaú BBA,07425398,https://find-and-update.company-information.service.gov.uk/company/07425398,Group,01/11/2010,"The Broadgate Tower, Level 10A, 20 Primrose Street, London",EC2A 2EW,1,Itau Bba International,Shoreditch Powerleague,6.3,Shoreditch Powerleague,6.3,Liverpool St - Attlee Centre (9.9),51.521062,-0.080031
22,1,Bank,City of London,National Westminster Bank Public Limited Company,NatWest,00929027,https://find-and-update.company-information.service.gov.uk/company/00929027,Group,18/03/1968,"250 Bishopsgate, London",EC2M 4AA,1,,Liverpool St - Attlee Centre,6.9,Shoreditch Powerleague,7.8,Shoreditch Powerleague (7.8),51.519375,-0.078589
23,1,Bank,City of London,Starling Bank Limited,Starling Bank,09092149,https://find-and-update.company-information.service.gov.uk/company/09092149,Group,18/06/2014,"5Th Floor London Fruit And Wool Exchange, 1 Duval Square, London",E1 6PW,1,,Liverpool St - Attlee Centre,3.3,Shoreditch Powerleague,8.1,Shoreditch Powerleague (8.1); Whitechapel (18.6),51.518837,-0.075426
24,1,Bank,City of London,Allica Bank Limited,Allica Bank,07706156,https://find-and-update.company-information.service.gov.uk/company/07706156,Group,15/07/2011,"4Th/5Th Floor, 15 Worship Street, London",EC2A 2DT,1,Allica Bank,Shoreditch Powerleague,11.7,Shoreditch Powerleague,11.7,Liverpool St - Attlee Centre (16.9); Old St - Moreland Primary School (17.9),51.522446,-0.086027
25,1,Bank,City of London,Gatehouse Bank PLC,Gatehouse Bank,06260053,https://find-and-update.company-information.service.gov.uk/company/06260053,Group,25/05/2007,"The Helicon, One South Place, London",EC2M 2RB,1,Gatehouse Bank,Shoreditch Powerleague,14.9,Shoreditch Powerleague,14.9,Liverpool St - Attlee Centre (16.3),51.519283,-0.08727
26,1,Bank,City of London,Hampshire Trust Bank PLC,Hampshire Trust Bank,01311315,https://find-and-update.company-information.service.gov.uk/company/01311315,Group,28/04/1977,"80 Fenchurch Street, London",EC3M 4BY,1,,Liverpool St - Attlee Centre,10.3,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.513039,-0.077717
27,1,Bank,City of London,Shawbrook Bank Limited,Shawbrook Bank,00388466,https://find-and-update.company-information.service.gov.uk/company/00388466,Group,29/06/1944,"Floor 10,, 40 Leadenhall Street, London",EC3A 2BJ,1,Shawbrook Bank,Liverpool St - Attlee Centre,11.1,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.513208,-0.079295
28,1,Public / state-owned bank,City of London,Agdevco Limited,AgDevCo,07026479,https://find-and-update.company-information.service.gov.uk/company/07026479,Group,22/09/2009,"Chancery House 53-64 Chancery Lane, Holborn, London",WC2A 1QS,2,,St Pancras - Coram's Fields 3G,16.9,St Pancras - Coram's Fields 3G,16.9,,51.517486,-0.112915
29,1,Public / state-owned bank,City of London,Bank of England,the Bank of England,,,Statutory corporation,,"Threadneedle Street, London",EC2R 8AH,9,Bank Of England Alternative Liquidity Facility,Liverpool St - Attlee Centre,18.9,Liverpool St - Attlee Centre,18.9,,51.514188,-0.088622
30,2,Law firm,City of London,Maples and Calder,Maples Group,03369233,https://find-and-update.company-information.service.gov.uk/company/03369233,Full,06/05/1997,"Duo Level 6, 280 Bishopsgate, London",EC2M 4RB,2,,Shoreditch Powerleague,6.9,Shoreditch Powerleague,6.9,Liverpool St - Attlee Centre (7.1),51.519884,-0.078394
31,2,Law firm,City of London,Watson Farley & Williams LLP,Watson Farley & Williams,OC312252,https://find-and-update.company-information.service.gov.uk/company/OC312252,Full,17/03/2005,"15 Appold Street, London",EC2A 2HB,1,,Shoreditch Powerleague,9.8,Shoreditch Powerleague,9.8,Liverpool St - Attlee Centre (12.1),51.520274,-0.082976
32,2,Law firm,City of London,Conyers Dill & Pearman,Conyers Dill & Pearman,03495343,https://find-and-update.company-information.service.gov.uk/company/03495343,Full,14/01/1998,"10 Finsbury Square, London",EC2A 1AF,1,,Shoreditch Powerleague,13.7,Shoreditch Powerleague,13.7,Liverpool St - Attlee Centre (17.4); Old St - Moreland Primary School (18.3),51.521237,-0.087462
33,2,Law firm,City of London,"Greenberg Traurig, LLP",Greenberg Traurig,OC346053,https://find-and-update.company-information.service.gov.uk/company/OC346053,Full,01/06/2009,"The Shard Level 8, 32 London Bridge Street, London",SE1 9SG,1,,Borough Academy,14.6,Borough Academy,14.6,,51.504963,-0.087625
34,2,Law firm,City of London,Paul Hastings (Europe) LLP,Paul Hastings,OC306535,https://find-and-update.company-information.service.gov.uk/company/OC306535,Full,16/01/2004,"100 Bishopsgate, London",EC2N 4AG,1,,Liverpool St - Attlee Centre,10.5,Shoreditch Powerleague,15.2,Shoreditch Powerleague (15.2),51.515719,-0.081596
35,2,Law firm,City of London,Runnymede Law Limited,Runnymede Law,09248715,https://find-and-update.company-information.service.gov.uk/company/09248715,Full,03/10/2014,"Exchequer Court, 33 St. Mary Axe, London",EC3A 8AA,1,,Liverpool St - Attlee Centre,9.6,Shoreditch Powerleague,15.5,Shoreditch Powerleague (15.5),51.515249,-0.080362
36,2,Law firm,City of London,Doyle Clayton Solicitors Limited,Doyle Clayton Solicitors,06963121,https://find-and-update.company-information.service.gov.uk/company/06963121,Full,15/07/2009,"24 Chiswell Street, 7Th Floor, London",EC1Y 4TY,1,,Shoreditch Powerleague,16.2,Shoreditch Powerleague,16.2,Old St - Moreland Primary School (17.3),51.520895,-0.089624
37,2,Law firm,City of London,ALM Global (EMEA) Ltd,ALM Global,04110598,https://find-and-update.company-information.service.gov.uk/company/04110598,Full,15/11/2000,"4Th Floor Holborn Gate, 330 High Holborn, London",WC1V 7QT,1,,St Pancras - Coram's Fields 3G,16.7,St Pancras - Coram's Fields 3G,16.7,,51.517977,-0.112145
38,2,Law firm,City of London,Michael Osborne LLP,Michael Osborne,OC322220,https://find-and-update.company-information.service.gov.uk/company/OC322220,Full,07/09/2006,"5Th Floor, 70 Gracechurch Street, London",EC3V 0XL,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.512066,-0.084791
39,2,Law firm,City of London,Stewartsbridge LLP,Stewartsbridge,OC321631,https://find-and-update.company-information.service.gov.uk/company/OC321631,Full,16/08/2006,"5Th Floor, 70 Gracechurch Street, London",EC3V 0XL,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.512066,-0.084791
40,2,Law firm,City of London,Bates Wells & Braithwaite London LLP,Bates Wells & Braithwaite London,OC325522,https://find-and-update.company-information.service.gov.uk/company/OC325522,Full,24/01/2007,"10 Queen Street Place, London",EC4R 1BE,1,,Borough Academy,17.4,Borough Academy,17.4,,51.510276,-0.093008
41,2,Law firm,City of London,Keystone Law Limited,Keystone Law,04650763,https://find-and-update.company-information.service.gov.uk/company/04650763,Full,29/01/2003,"48 Chancery Lane, London",WC2A 1JF,1,,St Pancras - Coram's Fields 3G,18.2,St Pancras - Coram's Fields 3G,18.2,,51.516883,-0.112306
42,2,Law firm,City of London,Anthony Gold Solicitors LLP,Anthony Gold Solicitors,OC433560,https://find-and-update.company-information.service.gov.uk/company/OC433560,Full,30/09/2020,"The Cottons Centre 5Th Floor, South West, Hays Lane",SE1 2QG,1,,Borough Academy,18.3,Borough Academy,18.3,,51.506078,-0.084826
43,2,Law firm,City of London,Shearwater Law Ltd.,Shearwater Law,08589434,https://find-and-update.company-information.service.gov.uk/company/08589434,Full,28/06/2013,"90 Fenchurch Street, London",EC3M 4ST,1,,Liverpool St - Attlee Centre,10.0,Shoreditch Powerleague,18.4,Shoreditch Powerleague (18.4),51.513152,-0.077539
44,2,Law firm,City of London,King & Spalding International LLP,King & Spalding,OC303151,https://find-and-update.company-information.service.gov.uk/company/OC303151,Full,10/10/2002,"8 Bishopsgate, London",EC2N 4BQ,2,,Liverpool St - Attlee Centre,13.7,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.514149,-0.083493
45,2,Law firm,City of London,McDermott Will & Schulte UK LLP,McDermott Will & Schulte,OC311909,https://find-and-update.company-information.service.gov.uk/company/OC311909,Full,02/03/2005,"22 Bishopsgate, London",EC2N 4BQ,1,,Liverpool St - Attlee Centre,13.7,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.514149,-0.083493
46,2,Law firm,City of London,Secretariat International UK Ltd,Secretariat,09692990,https://find-and-update.company-information.service.gov.uk/company/09692990,Full,20/07/2015,"22 Bishopsgate, 22Nd Floor, London",EC2N 4BQ,2,,Liverpool St - Attlee Centre,13.7,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.514149,-0.083493
47,2,Law firm,City of London,White & Case LLP,White & Case,OC324340,https://find-and-update.company-information.service.gov.uk/company/OC324340,Full,01/12/2006,"5 Old Broad Street, London",EC2N 1DW,3,,Liverpool St - Attlee Centre,15.1,Shoreditch Powerleague,18.9,Shoreditch Powerleague (18.9),51.514765,-0.085398
48,2,Law firm,City of London,MFB Solicitors Limited,MFB Solicitors,15399140,https://find-and-update.company-information.service.gov.uk/company/15399140,Medium,09/01/2024,"Fishmongers' Chambers, 1 Fishmongers' Hall Wharf, London",EC4R 3AE,1,,Borough Academy,19.0,Borough Academy,19.0,,51.509119,-0.08771
49,2,Bank,City of London,Clearbank Limited,Clearbank,09736376,https://find-and-update.company-information.service.gov.uk/company/09736376,Full,17/08/2015,"Level 27, The Broadgate Tower, 20 Primrose Street, London",EC2A 2EW,1,Clearbank Group Holdings,Shoreditch Powerleague,6.3,Shoreditch Powerleague,6.3,Liverpool St - Attlee Centre (9.9),51.521062,-0.080031
50,2,Bank,City of London,Monzo Bank Limited,Monzo,09446231,https://find-and-update.company-information.service.gov.uk/company/09446231,Full,18/02/2015,"Broadwalk House, 5 Appold Street, London",EC2A 2AG,1,,Shoreditch Powerleague,7.4,Shoreditch Powerleague,7.4,Liverpool St - Attlee Centre (10.9),51.521036,-0.081185
51,2,Bank,City of London,This Bank Limited,This Bank,11734380,https://find-and-update.company-information.service.gov.uk/company/11734380,Full,19/12/2018,"City Bridge House, 57 Southwark Street, London",SE1 1RU,1,,Borough Academy,7.9,Borough Academy,7.9,,51.504643,-0.094483
52,2,Bank,Canary Wharf,Citibank UK Limited,Citi,11283101,https://find-and-update.company-information.service.gov.uk/company/11283101,Full,29/03/2018,"Citigroup Centre Canada Square, Canary Wharf, London",E14 5LB,1,,Poplar,8.3,Poplar,8.3,,51.504065,-0.01841
53,2,Bank,City of London,Fire Financial Services Limited,Fire Financial,11549793,https://find-and-update.company-information.service.gov.uk/company/11549793,Full,03/09/2018,"The Rise 41, Luke Street, London",EC2A 4DP,1,Fire Financial Services,Shoreditch Powerleague,9.1,Shoreditch Powerleague,9.1,Liverpool St - Attlee Centre (16.3); Old St - Moreland Primary School (18.5),51.523893,-0.083775
54,2,Bank,City of London,Turkish Bank (UK) Limited,Turkish Bank,02643004,https://find-and-update.company-information.service.gov.uk/company/02643004,Full,04/09/1991,"84/86 Borough High Street, London",SE1 1LN,1,,Borough Academy,9.5,Borough Academy,9.5,,51.503581,-0.09166
55,2,Bank,Canary Wharf,Zopa Bank Limited,Zopa Bank,10627575,https://find-and-update.company-information.service.gov.uk/company/10627575,Full,20/02/2017,"Level 12 20 Water Street, Canary Wharf, London",E14 5GX,1,,Poplar,10.7,Poplar,10.7,,51.502783,-0.014907
56,2,Bank,City of London,UBS International IB Limited,UBS,01767389,https://find-and-update.company-information.service.gov.uk/company/01767389,Full,04/11/1983,"5 Broadgate, London",EC2M 2QS,2,,Liverpool St - Attlee Centre,11.6,Shoreditch Powerleague,11.6,Shoreditch Powerleague (11.6),51.518838,-0.083137
57,2,Bank,City of London,Recognise Bank Limited,Recognise Bank,10603119,https://find-and-update.company-information.service.gov.uk/company/10603119,Full,06/02/2017,"Floor 4, Henry Thomas House, 5-11, Worship Street, London",EC2A 2BH,1,Recognise Bank,Shoreditch Powerleague,12.0,Shoreditch Powerleague,12.0,Liverpool St - Attlee Centre (17); Old St - Moreland Primary School (17.9),51.522315,-0.086249
58,2,Bank,City of London,SMBC Bank International PLC,SMBC,04684034,https://find-and-update.company-information.service.gov.uk/company/04684034,Full,03/03/2003,"100 Liverpool Street, London",EC2M 2AT,1,,Liverpool St - Attlee Centre,11.8,Shoreditch Powerleague,13.1,Shoreditch Powerleague (13.1),51.517889,-0.083408
59,2,Bank,City of London,ICICI Bank UK PLC,ICICI Bank,04663024,https://find-and-update.company-information.service.gov.uk/company/04663024,Full,11/02/2003,"One, Thomas More Square, London",E1W 1YN,1,,Whitechapel,13.5,Whitechapel,13.5,Bermondsey Riverside (17.6); Liverpool St - Attlee Centre (17.6),51.508632,-0.067872
60,2,Bank,Canary Wharf,Havin Bank Ltd,Havin Bank,01074897,https://find-and-update.company-information.service.gov.uk/company/01074897,Full,03/10/1972,"Sqb Building 4Th Floor, 77 Marsh Wall, London",E14 9SH,1,,Poplar,14.1,Poplar,14.1,,51.500726,-0.01661
61,2,Bank,City of London,Afin Bank Limited,Afin Bank,13090556,https://find-and-update.company-information.service.gov.uk/company/13090556,Full,18/12/2020,"Lower Ground Floor, 10 Chiswell Street, London",EC1Y 4UQ,1,Afin Bank,Shoreditch Powerleague,15.0,Shoreditch Powerleague,15.0,Liverpool St - Attlee Centre (18.1); Old St - Moreland Primary School (18.4),51.520695,-0.088407
62,2,Bank,City of London,RBC Europe Limited,RBC,00995939,https://find-and-update.company-information.service.gov.uk/company/00995939,Full,02/12/1970,"100 Bishopsgate, London",EC2N 4AA,1,,Liverpool St - Attlee Centre,10.5,Shoreditch Powerleague,15.2,Shoreditch Powerleague (15.2),51.515719,-0.081596
63,2,Bank,City of London,Firstbank UK Limited,Firstbank,04459383,https://find-and-update.company-information.service.gov.uk/company/04459383,Full,12/06/2002,"28 Finsbury Circus, London",EC2M 7DT,1,Firstbank Uk,Liverpool St - Attlee Centre,16.5,Shoreditch Powerleague,16.7,Shoreditch Powerleague (16.7),51.517696,-0.087567
64,2,Bank,City of London,LHV Bank Limited,LHV Bank,13180211,https://find-and-update.company-information.service.gov.uk/company/13180211,Full,04/02/2021,"One Angel Court, 1 Angel Court, London",EC2R 7HJ,1,Lhv Bank,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
65,2,Bank,City of London,DB UK Bank Limited,Deutsche Bank,00315841,https://find-and-update.company-information.service.gov.uk/company/00315841,Full,30/06/1936,"21 Moorfields, London",EC2Y 9DB,1,,Shoreditch Powerleague,17.6,Shoreditch Powerleague,17.6,Liverpool St - Attlee Centre (18.3),51.51837,-0.089168
66,2,Bank,City of London,Zenith Bank (UK) Limited,Zenith Bank,05713749,https://find-and-update.company-information.service.gov.uk/company/05713749,Full,17/02/2006,"39 Cornhill, London",EC3V 3ND,1,Zenith Bank (Uk),Liverpool St - Attlee Centre,18.1,Liverpool St - Attlee Centre,18.1,,51.513229,-0.087134
67,2,Bank,City of London,Fidbank UK Limited,Fidbank,04661188,https://find-and-update.company-information.service.gov.uk/company/04661188,Full,10/02/2003,"1 Kings Arms Yard, London",EC2R 7AF,1,Fidbank Uk,Liverpool St - Attlee Centre,18.6,Liverpool St - Attlee Centre,18.6,,51.515226,-0.088852
68,2,Bank,City of London,Nomura Bank International PLC.,Nomura,01981122,https://find-and-update.company-information.service.gov.uk/company/01981122,Full,22/01/1986,"1 Angel Lane, London",EC4R 3AB,1,,Borough Academy,18.7,Borough Academy,18.7,,51.509741,-0.089414
69,2,Bank,City of London,FCMB Bank (UK) Limited,FCMB Bank,06621225,https://find-and-update.company-information.service.gov.uk/company/06621225,Full,16/06/2008,"Dawson House, 5 Jewry Street, London",EC3N 2EX,1,,Liverpool St - Attlee Centre,10.0,Shoreditch Powerleague,18.8,Whitechapel (18.7); Shoreditch Powerleague (18.8),51.512907,-0.076843
70,2,Public / state-owned bank,City of London,The Private Infrastructure Development Group Limited,PIDG,11265124,https://find-and-update.company-information.service.gov.uk/company/11265124,Full,20/03/2018,"6 Bevis Marks, London",EC3A 7BA,1,,Liverpool St - Attlee Centre,9.0,Shoreditch Powerleague,15.6,Shoreditch Powerleague (15.6),51.514974,-0.079466
71,2,Public / state-owned bank,City of London,KEXIM Bank (UK) Limited,KEXIM Bank,02693038,https://find-and-update.company-information.service.gov.uk/company/02693038,Full,03/03/1992,"3Rd Floor Moorgate Hall, 155 Moorgate, London",EC2M 6XB,1,Kexim Bank (Uk),Shoreditch Powerleague,16.2,Shoreditch Powerleague,16.2,Liverpool St - Attlee Centre (17.1),51.518775,-0.088098
72,2,Private bank,City of London,Habib Bank Zurich PLC,Habib Bank Zurich,08864609,https://find-and-update.company-information.service.gov.uk/company/08864609,Full,28/01/2014,"Habib House, 42 Moorgate, London",EC2R 6JJ,1,Habib Bank Zurich,Liverpool St - Attlee Centre,17.9,Shoreditch Powerleague,19.0,Shoreditch Powerleague (19),51.516636,-0.08875
73,2,Fund administrator,City of London,Langham Hall UK LLP,Langham Hall,OC319723,https://find-and-update.company-information.service.gov.uk/company/OC319723,Full,15/05/2006,"3Rd Floor, Broadwalk House, 5 Appold Street, Broadgate, London",EC2A 2DA,5,Langham Hall,Shoreditch Powerleague,7.4,Shoreditch Powerleague,7.4,Liverpool St - Attlee Centre (10.9),51.521036,-0.081185
74,2,Fund administrator,Canary Wharf,State Street Unit Trust Management Limited,State Street,02669933,https://find-and-update.company-information.service.gov.uk/company/02669933,Full,10/12/1991,"20 Churchill Place, Canary Wharf, London",E14 5HJ,1,,Poplar,9.2,Poplar,9.2,,51.503819,-0.01394
75,2,Fund administrator,City of London,FNZ Securities Limited,FNZ,09486463,https://find-and-update.company-information.service.gov.uk/company/09486463,Full,12/03/2015,"10Th Floor, 135 Bishopsgate, London",EC2M 3TP,1,,Liverpool St - Attlee Centre,8.5,Shoreditch Powerleague,10.7,Shoreditch Powerleague (10.7),51.518182,-0.080469
76,2,Fund administrator,Canary Wharf,Clearstream London Limited,Clearstream,11741614,https://find-and-update.company-information.service.gov.uk/company/11741614,Full,27/12/2018,"11 Westferry Circus, Canary Wharf, London",E14 4HE,1,,Poplar,10.8,Poplar,10.8,Docklands - Surrey Quays (16.3),51.505921,-0.025535
77,2,Fund administrator,Canary Wharf,Northern Trust Securities LLP,Northern Trust,OC324323,https://find-and-update.company-information.service.gov.uk/company/OC324323,Full,30/11/2006,"50 Bank Street, London",E14 5NT,1,,Poplar,11.2,Poplar,11.2,,51.502388,-0.018123
78,2,Fund administrator,City of London,JTC Gas UK LLP,JTC,OC355369,https://find-and-update.company-information.service.gov.uk/company/OC355369,Full,02/06/2010,"The Scalpel, 18Th Floor, 52 Lime Street, London",EC3M 7AF,1,,Liverpool St - Attlee Centre,12.6,Liverpool St - Attlee Centre,12.6,,51.513389,-0.081521
79,2,Fund administrator,City of London,Morningstar Wealth Administration Limited,Morningstar Wealth,06016828,https://find-and-update.company-information.service.gov.uk/company/06016828,Full,04/12/2006,"1 Oliver'S Yard, 55-71 City Road, London",EC1Y 1HQ,1,,Shoreditch Powerleague,13.0,Shoreditch Powerleague,13.0,Old St - Moreland Primary School (15); Shoreditch Rooftop (18.9),51.524102,-0.087198
80,2,Fund administrator,City of London,Apex Corporate and Business Services UK Limited,Apex Group,03853848,https://find-and-update.company-information.service.gov.uk/company/03853848,Full,06/10/1999,"4Th Floor,, 140 Aldersgate Street, London",EC1A 4HY,1,,Old St - Moreland Primary School,16.7,Old St - Moreland Primary School,16.7,,51.519648,-0.097518
81,2,Fund administrator,City of London,Alter Domus Fund Services (UK) Limited,Alter Domus,08962253,https://find-and-update.company-information.service.gov.uk/company/08962253,Full,27/03/2014,"10Th Floor, 30 St Mary Axe, London",EC3A 8BF,3,,Liverpool St - Attlee Centre,10.4,Shoreditch Powerleague,16.8,Shoreditch Powerleague (16.8),51.514486,-0.080437
82,2,Fund administrator,City of London,Carne International Financial Services (UK) Limited,Carne Group,11555138,https://find-and-update.company-information.service.gov.uk/company/11555138,Full,06/09/2018,"2Nd Floor, 29-30 Cornhill, London",EC3V 3NF,1,,Liverpool St - Attlee Centre,17.6,Liverpool St - Attlee Centre,17.6,,51.513257,-0.086701
83,2,Fund / asset manager,City of London,Stafford Capital Partners Limited,Stafford Capital Partners,04752750,https://find-and-update.company-information.service.gov.uk/company/04752750,Group,02/05/2003,"Level 6 Duo, 280 Bishopsgate, London",EC2M 4RB,2,,Shoreditch Powerleague,6.9,Shoreditch Powerleague,6.9,Liverpool St - Attlee Centre (7.1),51.519884,-0.078394
84,2,Fund / asset manager,City of London,Tritax Management LLP,Tritax Management,OC326500,https://find-and-update.company-information.service.gov.uk/company/OC326500,Group,02/03/2007,"280 Bishopsgate, London",EC2M 4AG,1,,Shoreditch Powerleague,6.9,Shoreditch Powerleague,6.9,Liverpool St - Attlee Centre (7.1),51.519875,-0.07838
85,2,Fund / asset manager,Canary Wharf,Tramontana Asset Management Limited,Tramontana Asset Management,09317056,https://find-and-update.company-information.service.gov.uk/company/09317056,Group,18/11/2014,"One Canada Square, Canary Wharf, London",E14 5AA,1,,Poplar,7.1,Poplar,7.1,,51.504938,-0.019496
86,2,Advisory / accountancy,City of London,Westonwilliamson+Partners LLP,WestonWilliamson+Partners,OC375867,https://find-and-update.company-information.service.gov.uk/company/OC375867,Group,07/06/2012,"12 Valentine Place, London",SE1 8QH,1,,Borough Academy,7.3,Borough Academy,7.3,,51.501653,-0.105832
87,2,Fund / asset manager,Canary Wharf,Lord Abbett (UK) Ltd.,Lord Abbett,10804287,https://find-and-update.company-information.service.gov.uk/company/10804287,Group,06/06/2017,"C/O Csc Cls (Uk) Limited 5 Churchill Place, 10Th Floor, London",E14 5HU,1,,Poplar,8.0,Poplar,8.0,,51.504691,-0.013369
88,2,Fund / asset manager,Canary Wharf,Roscommon Analytics UK Limited,Roscommon Analytics,13224309,https://find-and-update.company-information.service.gov.uk/company/13224309,Group,24/02/2021,"C/O Csc Cls (Uk) Limited 5 Churchill Place, 10Th Floor, London",E14 5HU,1,,Poplar,8.0,Poplar,8.0,,51.504691,-0.013369
89,2,Fund / asset manager,City of London,Activtrades PLC,ActivTrades,05367727,https://find-and-update.company-information.service.gov.uk/company/05367727,Group,17/02/2005,"The Loom, Office 2.6,, 14 Gowers Walk, London",E1 8PY,1,,Whitechapel,8.6,Whitechapel,8.6,Liverpool St - Attlee Centre (11.3),51.512653,-0.067428
90,2,Fund / asset manager,City of London,Crowdcube Limited,Crowdcube,07014587,https://find-and-update.company-information.service.gov.uk/company/07014587,Group,10/09/2009,"Zetland House, Clifton Street, London",EC2A 4LD,1,Crowdcube Capital,Shoreditch Powerleague,8.7,Shoreditch Powerleague,8.7,Liverpool St - Attlee Centre (15.7),51.523617,-0.083412
91,2,Insurance / broker,Canary Wharf,Ambridge Europe Limited,Ambridge,05864472,https://find-and-update.company-information.service.gov.uk/company/05864472,Group,03/07/2006,"C/O Pkf Littlejohn Llp 30 Churchill Place, Canary Wharf, London",E14 5RE,1,,Poplar,9.1,Poplar,9.1,,51.503691,-0.014911
92,2,Fund / asset manager,City of London,Wealthkernel Limited,Wealthkernel,09686970,https://find-and-update.company-information.service.gov.uk/company/09686970,Group,15/07/2015,"41 Luke Street, London",EC2A 4DP,1,Wealthkernel,Shoreditch Powerleague,9.1,Shoreditch Powerleague,9.1,Liverpool St - Attlee Centre (16.3); Old St - Moreland Primary School (18.5),51.523893,-0.083775
93,2,Insurance / broker,City of London,Steamship Mutual Underwriting Association Limited,Steamship Mutual Underwriting Association,00105461,https://find-and-update.company-information.service.gov.uk/company/00105461,Group,16/10/1909,"155 Bishopsgate, Floor 6, London",EC2M 3TQ,2,,Liverpool St - Attlee Centre,8.2,Shoreditch Powerleague,9.5,Shoreditch Powerleague (9.5),51.518769,-0.08007
94,2,Insurance / broker,City of London,Seascope Holdings Ltd,Seascope,02162215,https://find-and-update.company-information.service.gov.uk/company/02162215,Group,08/09/1987,"57 Mansell Street, London",E1 8AN,2,,Liverpool St - Attlee Centre,9.7,Liverpool St - Attlee Centre,9.7,Whitechapel (14.5),51.512491,-0.072883
95,2,Fund / asset manager,City of London,Advisors Investment LLP,Advisors Investment,OC339952,https://find-and-update.company-information.service.gov.uk/company/OC339952,Group,05/09/2008,"3Rd Floor, 86 - 90 Paul Street, London",EC2A 4NE,1,,Shoreditch Powerleague,9.8,Shoreditch Powerleague,9.8,Shoreditch Rooftop (15.7); Old St - Moreland Primary School (17.4),51.525617,-0.083602
96,2,Fund / asset manager,City of London,Momenta Finance Limited,Momenta Finance,14423247,https://find-and-update.company-information.service.gov.uk/company/14423247,Group,17/10/2022,"3Rd Floor, 86 - 90 Paul Street, London",EC2A 4NE,1,,Shoreditch Powerleague,9.8,Shoreditch Powerleague,9.8,Shoreditch Rooftop (15.7); Old St - Moreland Primary School (17.4),51.525617,-0.083602
97,2,Insurance / broker,City of London,Talisman Underwriting PLC,Talisman Underwriting,03370297,https://find-and-update.company-information.service.gov.uk/company/03370297,Group,14/05/1997,"107 Fenchurch Street, London",EC3M 5JF,2,,Liverpool St - Attlee Centre,11.8,Liverpool St - Attlee Centre,11.8,,51.512603,-0.079133
