#,Priority,Segment,Area,Company name,Name for messages,Companies House number,Companies House link,Accounts type,Incorporated,Registered address,Postcode,Group entities collapsed,Also in earlier 933 research list (not messaged),Nearest pitch,Walk to nearest (min),Lead-with pitch,Walk to lead-with pitch (min),Other pitches within 19 min,Latitude,Longitude
354,3,Insurance / broker,City of London,Renaissancere Corporate Capital (UK) Limited,Renaissancere Corporate Capital,06838321,https://find-and-update.company-information.service.gov.uk/company/06838321,Full,05/03/2009,"18Th Floor, 125, Old Broad Street, London",EC2N 1AR,1,Renaissancere Corporate Capital (Uk),Liverpool St - Attlee Centre,16.0,Liverpool St - Attlee Centre,16.0,,51.514543,-0.086114
355,3,Insurance / broker,City of London,Scorpius Mga Limited,Scorpius Mga,15049064,https://find-and-update.company-information.service.gov.uk/company/15049064,Full,04/08/2023,"21 Lime Street, London",EC3M 7HB,1,,Liverpool St - Attlee Centre,16.0,Liverpool St - Attlee Centre,16.0,,51.512084,-0.083695
356,3,Insurance / broker,City of London,St Andrew's Insurance PLC,St Andrew's Insurance,03104671,https://find-and-update.company-information.service.gov.uk/company/03104671,Full,15/09/1995,"33 Old Broad Street, London",EC2N 1HZ,1,,Liverpool St - Attlee Centre,12.6,Shoreditch Powerleague,16.0,Shoreditch Powerleague (16),51.515987,-0.083718
357,3,Fund / asset manager,City of London,GMO U.K. Limited,GMO U.K,04658801,https://find-and-update.company-information.service.gov.uk/company/04658801,Full,06/02/2003,"No. 1 London Bridge, London Bridge, London",SE1 9BG,1,,Borough Academy,16.1,Borough Academy,16.1,,51.506545,-0.087559
358,3,Fund / asset manager,City of London,Innisfree Limited,Innisfree,03039792,https://find-and-update.company-information.service.gov.uk/company/03039792,Full,30/03/1995,"First Floor, Boundary House, 91-93 Charterhouse Street, London",EC1M 6HR,19,Innisfree Canada Isf 2,Old St - Moreland Primary School,16.1,Old St - Moreland Primary School,16.1,,51.520117,-0.100986
359,3,Fund / asset manager,City of London,Sidekick Money Ltd,Sidekick Money,13882980,https://find-and-update.company-information.service.gov.uk/company/13882980,Full,31/01/2022,"6-7 St. Cross Street, London",EC1N 8UB,1,Sidekick Money,St Pancras - Coram's Fields 3G,16.1,St Pancras - Coram's Fields 3G,16.1,,51.520489,-0.108942
360,3,Fund / asset manager,City of London,Crake Asset Management LLP,Crake Asset Management,OC422582,https://find-and-update.company-information.service.gov.uk/company/OC422582,Full,24/05/2018,"78-80 Cornhill, London",EC3V 3QQ,1,,Liverpool St - Attlee Centre,16.2,Liverpool St - Attlee Centre,16.2,,51.513453,-0.085482
361,3,Fund / asset manager,City of London,Intrinsic Capital LLP,Intrinsic Capital,OC312266,https://find-and-update.company-information.service.gov.uk/company/OC312266,Full,17/03/2005,"73 Cornhill, London",EC3V 3QQ,1,,Liverpool St - Attlee Centre,16.2,Liverpool St - Attlee Centre,16.2,,51.513453,-0.085482
362,3,Fund / asset manager,City of London,Longfield Investment Partners Limited,Longfield Investment Partners,12095661,https://find-and-update.company-information.service.gov.uk/company/12095661,Full,10/07/2019,"73 Cornhill, London",EC3V 3QQ,1,,Liverpool St - Attlee Centre,16.2,Liverpool St - Attlee Centre,16.2,,51.513453,-0.085482
363,3,Fund / asset manager,City of London,Tacconis Advisors & Co LLP,Tacconis Advisors & Co,OC322018,https://find-and-update.company-information.service.gov.uk/company/OC322018,Full,31/08/2006,"73 Cornhill, London",EC3V 3QQ,1,,Liverpool St - Attlee Centre,16.2,Liverpool St - Attlee Centre,16.2,,51.513453,-0.085482
